epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.2262,1.62496,2.44922,1.51191,0.55622,0.19636,0.11049,0.04958,2.39922,4.5602,2.21805,0.00036831,0.00036831,0.00036831
2,81.9648,1.64502,1.97773,1.51755,0.29924,0.14523,0.05577,0.02591,2.46365,7.52674,2.58251,0.000728893,0.000728893,0.000728893
3,119.594,1.6437,1.96029,1.53174,0.17722,0.22508,0.13664,0.06358,2.18554,8.68638,2.15783,0.0010797,0.0010797,0.0010797
4,157.459,1.57457,1.83846,1.4828,0.22665,0.17969,0.14254,0.07053,2.05057,4.17791,2.0333,0.001067,0.001067,0.001067
5,194.034,1.52775,1.76117,1.44386,0.24727,0.21875,0.17564,0.08688,1.93408,3.86568,1.92557,0.00105234,0.00105234,0.00105234
6,230.756,1.49464,1.70666,1.42333,0.23252,0.2051,0.17678,0.09214,1.87017,3.67878,1.88088,0.00103767,0.00103767,0.00103767
7,267.875,1.45894,1.61644,1.40133,0.25275,0.24035,0.20483,0.10863,1.80796,3.54132,1.78658,0.00102301,0.00102301,0.00102301
8,304.997,1.4456,1.61245,1.391,0.27457,0.24074,0.2305,0.12337,1.87782,3.59734,1.8679,0.00100834,0.00100834,0.00100834
9,342.332,1.41876,1.56646,1.37496,0.26556,0.25506,0.22392,0.12478,1.76111,3.52669,1.78084,0.000993678,0.000993678,0.000993678
10,379.324,1.404,1.53606,1.35319,0.30895,0.2686,0.26296,0.15052,1.70718,3.34607,1.75043,0.000979013,0.000979013,0.000979013
11,415.763,1.3724,1.49809,1.34271,0.31191,0.26041,0.25429,0.14314,1.80237,3.37613,1.82649,0.000964348,0.000964348,0.000964348
12,452.549,1.36253,1.47487,1.32836,0.32764,0.27354,0.27883,0.16161,1.71807,3.13242,1.71642,0.000949683,0.000949683,0.000949683
13,490.113,1.3475,1.473,1.32404,0.33578,0.28629,0.29304,0.16821,1.77455,3.26382,1.80427,0.000935018,0.000935018,0.000935018
14,527.147,1.33708,1.43804,1.31522,0.32998,0.2677,0.28177,0.15749,1.76064,3.21984,1.76101,0.000920352,0.000920352,0.000920352
15,563.861,1.32331,1.42346,1.3193,0.34197,0.26916,0.28456,0.16858,1.73724,3.3619,1.72603,0.000905687,0.000905687,0.000905687
16,600.995,1.31152,1.41052,1.30135,0.3245,0.26985,0.26728,0.15956,1.70955,3.40099,1.72473,0.000891022,0.000891022,0.000891022
17,637.445,1.30276,1.38983,1.29979,0.35072,0.27303,0.2901,0.17201,1.67893,3.08251,1.72196,0.000876357,0.000876357,0.000876357
18,674.073,1.29223,1.37479,1.29787,0.34103,0.28301,0.29977,0.17708,1.6932,3.19744,1.72084,0.000861692,0.000861692,0.000861692
19,711.054,1.28994,1.34499,1.26967,0.35378,0.28443,0.30542,0.18045,1.69486,3.16026,1.72206,0.000847026,0.000847026,0.000847026
20,747.93,1.26435,1.34572,1.27355,0.33974,0.29889,0.30244,0.18359,1.64367,3.07619,1.67039,0.000832361,0.000832361,0.000832361
21,784.205,1.25972,1.3271,1.2766,0.34218,0.29844,0.31034,0.18552,1.6776,3.08286,1.68922,0.000817696,0.000817696,0.000817696
22,820.753,1.24817,1.32452,1.26664,0.33955,0.28428,0.29553,0.18103,1.72847,3.21404,1.72464,0.000803031,0.000803031,0.000803031
23,857.296,1.24963,1.28987,1.26067,0.36361,0.29684,0.32212,0.19265,1.65492,3.0866,1.68328,0.000788366,0.000788366,0.000788366
24,893.917,1.23852,1.30731,1.26294,0.36874,0.29419,0.32224,0.1982,1.63332,3.08849,1.63833,0.0007737,0.0007737,0.0007737
25,930.417,1.22914,1.27373,1.25697,0.34431,0.29965,0.31066,0.19168,1.66072,3.23922,1.69109,0.000759035,0.000759035,0.000759035
26,966.617,1.21488,1.2726,1.25655,0.34838,0.30017,0.31479,0.19287,1.67821,3.10065,1.70145,0.00074437,0.00074437,0.00074437
27,1002.97,1.21466,1.25078,1.23694,0.38032,0.28062,0.31731,0.19891,1.70069,3.16471,1.71315,0.000729705,0.000729705,0.000729705
28,1039.62,1.21648,1.22793,1.23349,0.36129,0.30241,0.32416,0.20498,1.61958,3.1744,1.6611,0.00071504,0.00071504,0.00071504
29,1076.75,1.20134,1.23229,1.2345,0.35914,0.30093,0.31843,0.19458,1.64288,3.15847,1.67692,0.000700374,0.000700374,0.000700374
30,1113.48,1.19056,1.22151,1.23553,0.35173,0.29756,0.31582,0.19579,1.7339,3.23845,1.71375,0.000685709,0.000685709,0.000685709
31,1149.66,1.18819,1.21035,1.22911,0.39277,0.31096,0.34011,0.20919,1.59793,2.95283,1.63596,0.000671044,0.000671044,0.000671044
32,1186.36,1.17177,1.18017,1.21957,0.40172,0.28714,0.326,0.20348,1.59427,3.01477,1.60905,0.000656379,0.000656379,0.000656379
33,1222.87,1.16896,1.19666,1.21925,0.34556,0.31705,0.32404,0.20233,1.60049,3.00056,1.6564,0.000641714,0.000641714,0.000641714
34,1259.19,1.16922,1.18229,1.21829,0.37263,0.30262,0.32732,0.20821,1.62083,2.98578,1.6351,0.000627048,0.000627048,0.000627048
35,1295.16,1.16354,1.16655,1.21539,0.36902,0.3149,0.33369,0.21457,1.62133,3.09574,1.66148,0.000612383,0.000612383,0.000612383
36,1332.04,1.15738,1.15648,1.21118,0.36334,0.3025,0.32394,0.2062,1.6265,3.01707,1.64196,0.000597718,0.000597718,0.000597718
