epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.9926,1.68368,3.2894,1.73743,0.55016,0.19076,0.13392,0.05775,2.13301,3.96902,2.07006,0.000368809,0.000368809,0.000368809
2,166.929,1.71136,2.45724,1.82618,0.37632,0.23364,0.16193,0.07038,2.09168,3.86112,2.01165,0.000729386,0.000729386,0.000729386
3,242.837,1.65964,2.33242,1.77278,0.58042,0.25336,0.18325,0.07518,2.01689,3.45481,2.04119,0.00108019,0.00108019,0.00108019
4,318.684,1.61664,2.29946,1.7396,0.57537,0.23527,0.17503,0.07768,2.08151,3.06696,2.04694,0.001067,0.001067,0.001067
5,394.744,1.56182,2.13256,1.69648,0.56711,0.29082,0.27177,0.12195,1.8795,2.24997,1.83883,0.00105234,0.00105234,0.00105234
6,470.531,1.49729,2.01539,1.64536,0.65359,0.26987,0.23989,0.11362,1.8114,2.34452,1.81568,0.00103767,0.00103767,0.00103767
7,546.363,1.47398,1.98125,1.6381,0.76095,0.2709,0.30455,0.14053,1.7737,2.15323,1.73886,0.00102301,0.00102301,0.00102301
8,622.501,1.42919,1.87794,1.60151,0.75848,0.2232,0.25885,0.1158,1.84633,2.35815,1.85804,0.00100834,0.00100834,0.00100834
9,698.451,1.40238,1.82707,1.58354,0.50829,0.25488,0.25201,0.12034,1.73388,2.31139,1.74749,0.000993678,0.000993678,0.000993678
10,774.414,1.39718,1.80598,1.57141,0.72543,0.32652,0.33172,0.16758,1.66554,1.94913,1.65517,0.000979013,0.000979013,0.000979013
11,850.573,1.38251,1.76048,1.56531,0.71528,0.33717,0.35325,0.17177,1.64952,1.87223,1.66968,0.000964348,0.000964348,0.000964348
12,926.393,1.35812,1.73652,1.54251,0.60999,0.35453,0.36392,0.18898,1.62924,1.79813,1.61106,0.000949683,0.000949683,0.000949683
13,1002.17,1.34596,1.69518,1.5392,0.65586,0.3396,0.36979,0.18851,1.61539,1.84032,1.68977,0.000935018,0.000935018,0.000935018
14,1078.35,1.33335,1.672,1.5266,0.73052,0.32754,0.39377,0.2014,1.62367,1.81879,1.65307,0.000920352,0.000920352,0.000920352
15,1154.52,1.32558,1.6174,1.51489,0.59293,0.36711,0.39685,0.20326,1.58763,1.75274,1.62816,0.000905687,0.000905687,0.000905687
16,1230.35,1.30345,1.61205,1.49846,0.57814,0.31327,0.31231,0.16041,1.66394,2.0515,1.67523,0.000891022,0.000891022,0.000891022
17,1306.42,1.30351,1.61223,1.49994,0.62711,0.39294,0.39843,0.21515,1.52985,1.66334,1.57096,0.000876357,0.000876357,0.000876357
18,1382.43,1.28989,1.56089,1.48638,0.66091,0.38741,0.40958,0.2279,1.49855,1.60344,1.53764,0.000861692,0.000861692,0.000861692
19,1458.38,1.28266,1.53173,1.48512,0.80652,0.35278,0.41131,0.22319,1.53836,1.6099,1.57281,0.000847026,0.000847026,0.000847026
20,1534.51,1.28232,1.53703,1.48408,0.79539,0.34801,0.43491,0.24008,1.49805,1.57369,1.53443,0.000832361,0.000832361,0.000832361
21,1610.4,1.26405,1.50919,1.47261,0.67582,0.42357,0.44799,0.24089,1.52503,1.54424,1.52842,0.000817696,0.000817696,0.000817696
22,1686.13,1.25356,1.48579,1.45696,0.62552,0.43481,0.45786,0.2435,1.55472,1.53824,1.59137,0.000803031,0.000803031,0.000803031
23,1762.11,1.2416,1.46529,1.45614,0.65978,0.39952,0.45877,0.24397,1.51344,1.54395,1.53775,0.000788366,0.000788366,0.000788366
24,1838.1,1.23865,1.46328,1.45519,0.66467,0.39287,0.4548,0.24753,1.52441,1.52372,1.52262,0.0007737,0.0007737,0.0007737
25,1914.4,1.22282,1.41524,1.43531,0.49886,0.46199,0.4584,0.25925,1.47654,1.4548,1.49184,0.000759035,0.000759035,0.000759035
26,1990.43,1.21393,1.40989,1.43551,0.44326,0.47527,0.46355,0.26088,1.47273,1.42597,1.50395,0.00074437,0.00074437,0.00074437
27,2066.45,1.20742,1.40336,1.42762,0.4765,0.48323,0.47454,0.26762,1.47205,1.41435,1.52254,0.000729705,0.000729705,0.000729705
28,2142.38,1.20713,1.37647,1.43251,0.45226,0.46018,0.47709,0.27267,1.43852,1.37051,1.48627,0.00071504,0.00071504,0.00071504
