epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,109.103,1.72128,3.69854,1.79664,0.31555,0.23433,0.17945,0.07395,2.00235,3.03242,1.88829,0.00992537,0.00330846,0.00992537,0.00330846,0.00992537,0.00330846,0.00992537,0.00330846
2,203.354,1.51245,2.02118,1.62835,0.28854,0.17119,0.11946,0.04567,2.29251,3.79583,2.29269,0.0196624,0.00655412,0.0196624,0.00655412,0.0196624,0.00655412,0.0196624,0.00655412
3,298.289,1.63672,2.25635,1.74753,0.27158,0.07538,0.01818,0.00628,2.9019,8.18175,3.05185,0.0291353,0.00971178,0.0291353,0.00971178,0.0291353,0.00971178,0.0291353,0.00971178
4,393.152,1.68546,2.37288,1.80937,0.48481,0.14231,0.05041,0.01687,2.50448,6.10475,2.73866,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
5,487.586,1.61901,2.20246,1.76566,0.32657,0.26148,0.18088,0.07322,2.07575,3.23944,2.09247,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
6,581.815,1.55191,2.08768,1.72369,0.47747,0.26681,0.22921,0.10868,1.96511,2.59425,1.99132,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
7,676.155,1.51577,1.99635,1.69464,0.34327,0.39161,0.31221,0.15128,1.83448,2.2675,1.85823,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
8,770.719,1.47668,1.91134,1.65352,0.42446,0.39264,0.36192,0.18268,1.75743,2.2072,1.81752,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
9,864.967,1.44927,1.83895,1.6318,0.38303,0.4047,0.37235,0.19019,1.7423,2.24439,1.77449,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
10,959.368,1.43006,1.78907,1.62197,0.37444,0.42022,0.37984,0.1975,1.719,2.12737,1.73951,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
11,1053.61,1.39993,1.7518,1.59822,0.4824,0.41708,0.41025,0.2171,1.71229,1.92786,1.74244,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
12,1148.19,1.38944,1.69846,1.57702,0.5002,0.38562,0.39791,0.21364,1.69307,2.01824,1.7288,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
13,1242.43,1.3723,1.67602,1.57503,0.61972,0.43933,0.45304,0.24251,1.67766,1.91574,1.72873,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
14,1336.79,1.34272,1.63308,1.54691,0.45747,0.4712,0.43058,0.23616,1.64177,1.91739,1.69393,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
15,1431.09,1.32923,1.58911,1.53712,0.51005,0.44138,0.43221,0.23783,1.6308,1.94616,1.68778,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
16,1525.28,1.31968,1.58089,1.528,0.50151,0.45515,0.44327,0.25006,1.6179,1.81765,1.66512,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
17,1619.7,1.30887,1.54877,1.51879,0.52877,0.39831,0.42167,0.22868,1.68435,2.0149,1.72353,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
18,1713.9,1.30301,1.52421,1.52135,0.57202,0.43799,0.46576,0.26291,1.61521,1.78066,1.6876,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
19,1808.17,1.26939,1.48512,1.49459,0.58721,0.43662,0.47999,0.26864,1.61683,1.80299,1.66481,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
20,1902.41,1.26097,1.45907,1.48376,0.58157,0.46895,0.50359,0.28316,1.60879,1.71743,1.65963,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
21,1996.66,1.25301,1.42875,1.47449,0.58324,0.48656,0.50206,0.28561,1.56795,1.69082,1.63872,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
22,2090.9,1.23698,1.42279,1.46144,0.61068,0.48011,0.51101,0.28967,1.56864,1.64318,1.64494,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
23,2185.15,1.22579,1.39378,1.45821,0.58299,0.49435,0.50554,0.28637,1.58527,1.66815,1.63698,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
24,2279.37,1.22451,1.37392,1.45341,0.58087,0.49826,0.51486,0.29615,1.5678,1.64378,1.63185,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
25,2373.59,1.21134,1.36216,1.44531,0.58832,0.52447,0.52745,0.30151,1.55976,1.61121,1.61662,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
26,2467.64,1.20608,1.344,1.43571,0.56506,0.50156,0.51968,0.30118,1.5563,1.59164,1.61194,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
27,2562.04,1.1836,1.28968,1.41729,0.60514,0.49295,0.52668,0.3042,1.55075,1.61543,1.61627,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
28,2656.16,1.16935,1.28705,1.41439,0.61155,0.50336,0.53054,0.30561,1.55028,1.59562,1.61745,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
