task,metric,point_estimate,bootstrap_mean,ci_95_low,ci_95_high
multiclass,accuracy,0.4043,0.4042,0.3829,0.4261
multiclass,balanced_accuracy,0.3829,0.3826,0.3573,0.4109
multiclass,macro_f1,0.3422,0.3418,0.3215,0.363
multiclass,macro_precision,0.567,0.5666,0.5413,0.5942
multiclass,macro_recall,0.3829,0.3826,0.3573,0.4109
binary,accuracy,0.8682,0.8679,0.8517,0.8835
binary,balanced_accuracy,0.5813,0.5816,0.5586,0.6043
binary,f1_damage,0.9274,0.9272,0.9175,0.9365
binary,precision_damage,0.8705,0.8703,0.8538,0.8863
binary,recall_damage_sensitivity,0.9923,0.9922,0.9872,0.9967
