task,metric,point_estimate,bootstrap_mean,ci_95_low,ci_95_high
multiclass,accuracy,0.14168490153172866,0.14192833698030635,0.1263676148796499,0.1575492341356674
multiclass,balanced_accuracy,0.15610862792902616,0.15598687779498968,0.1507929496887094,0.160851859584217
multiclass,macro_f1,0.042103053366922154,0.04213914318735113,0.03784337265067487,0.046550156414895225
multiclass,macro_precision,0.05726210350584308,0.05670726197956802,0.02176308940771652,0.13640081336831616
multiclass,macro_recall,0.15610862792902616,0.15598687779498968,0.1507929496887094,0.160851859584217
binary_damage_vs_not_damage,accuracy,0.14824945295404815,0.14853555798687088,0.13293216630196936,0.16466083150984684
binary_damage_vs_not_damage,balanced_accuracy,0.471579448677723,0.4712561393632205,0.4556601011954852,0.4856808025736986
binary_damage_vs_not_damage,f1_damage,0.016424510423247,0.01648605534237978,0.0077119584330158355,0.026402246041060607
binary_damage_vs_not_damage,precision_damage,0.41935483870967744,0.4169877894815397,0.2380639097744361,0.5947297297297296
binary_damage_vs_not_damage,recall_damage_sensitivity,0.008376288659793814,0.008414845032790956,0.003916385217129163,0.013540527057423177
