task,metric,point_estimate,bootstrap_mean,ci_95_low,ci_95_high
multiclass,accuracy,0.15098468271334792,0.15137363238512033,0.1351203501094092,0.1673960612691466
multiclass,balanced_accuracy,0.16666666666666666,0.16666666666666663,0.16666666666666666,0.16666666666666666
multiclass,macro_f1,0.04372623574144487,0.04380821343303147,0.039678714859437754,0.04779756326148079
multiclass,macro_precision,0.025164113785557985,0.025228938730853395,0.0225200583515682,0.027899343544857767
multiclass,macro_recall,0.16666666666666666,0.16666666666666663,0.16666666666666666,0.16666666666666666
binary_damage_vs_not_damage,accuracy,0.15098468271334792,0.15137363238512033,0.1351203501094092,0.1673960612691466
binary_damage_vs_not_damage,balanced_accuracy,0.5,0.5,0.5,0.5
binary_damage_vs_not_damage,f1_damage,0.0,0.0,0.0,0.0
binary_damage_vs_not_damage,precision_damage,0.0,0.0,0.0,0.0
binary_damage_vs_not_damage,recall_damage_sensitivity,0.0,0.0,0.0,0.0
