task,metric,point_estimate,bootstrap_mean,ci_95_low,ci_95_high
multiclass,accuracy,0.4393,0.4394,0.4174,0.4617
multiclass,balanced_accuracy,0.4089,0.4093,0.3781,0.4402
multiclass,macro_f1,0.3418,0.3416,0.3241,0.3595
multiclass,macro_precision,0.457,0.457,0.4374,0.4764
multiclass,macro_recall,0.4089,0.4093,0.3781,0.4402
binary,accuracy,0.7347,0.7348,0.7144,0.7538
binary,balanced_accuracy,0.674,0.6746,0.644,0.7057
binary,f1_damage,0.8296,0.8296,0.814,0.8439
binary,precision_damage,0.912,0.912,0.8955,0.9274
binary,recall_damage_sensitivity,0.761,0.761,0.7393,0.7816
