task,metric,point_estimate,bootstrap_mean,ci_95_low,ci_95_high
multiclass,accuracy,0.18518518518518517,0.18814814814814812,0.07407407407407407,0.31574074074074043
multiclass,balanced_accuracy,0.3,0.3137,0.2,0.5
multiclass,macro_f1,0.24444444444444446,0.2073505448513188,0.09749999999999999,0.3333333333333333
multiclass,macro_precision,0.27777777777777773,0.21290259740259743,0.06892857142857142,0.3333333333333333
multiclass,macro_recall,0.25,0.23233333333333334,0.16666666666666666,0.3333333333333333
binary_damage_vs_not_damage,accuracy,0.6296296296296297,0.6351851851851852,0.4444444444444444,0.8148148148148148
binary_damage_vs_not_damage,balanced_accuracy,0.5,0.5,0.5,0.5
binary_damage_vs_not_damage,f1_damage,0.7727272727272727,0.7727670494722577,0.6153846153846154,0.8979591836734694
binary_damage_vs_not_damage,precision_damage,0.6296296296296297,0.6351851851851852,0.4444444444444444,0.8148148148148148
binary_damage_vs_not_damage,recall_damage_sensitivity,1.0,1.0,1.0,1.0
